benchmarkId,benchmarkRank,sourceBatchId,sourceItemId,sourceImage,adversarialCaseTypes,humanFinalDecision,humanFinalQid,autoSuggestedQid,autoSuggestedScore,baselineRoute,originalRoute,originalStatus,originalSignals,originalOutcome,calibratedRoute,calibratedStatus,calibratedSignals,calibratedOutcome,hardRisk,warningRisk,originalMeaningfullyFlagged,calibratedMeaningfullyFlagged,calibratedHardRiskSlip
adv-069,69,batch-012,screenshots/Screenshot 2026-04-07 at 18.19.27.png,screenshots/Screenshot 2026-04-07 at 18.19.27.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0691,q0653,45.4,manual review,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,manual review,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-070,70,batch-019,screenshots/Screenshot 2026-04-07 at 18.27.48 1.png,screenshots/Screenshot 2026-04-07 at 18.27.48 1.png,override|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0722,q0675,44.322,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-071,71,batch-020,screenshots/Screenshot 2026-04-07 at 18.28.49.png,screenshots/Screenshot 2026-04-07 at 18.28.49.png,override|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0665,q0425,43.31,likely unresolved,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-072,72,batch-017,screenshots/Screenshot 2026-04-07 at 18.26.24.png,screenshots/Screenshot 2026-04-07 at 18.26.24.png,override|topic_drift|image_heavy|structural_risk|ambiguous_near_match,approve-existing-qid,q0796,q0790,41.569,likely unresolved,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,likely unresolved,warn,topic-subtopic-drift-risk|image-sign-symbol-mismatch-risk,routed,true,true,true,true,false
adv-073,73,batch-017,screenshots/Screenshot 2026-04-07 at 18.26.11 1.png,screenshots/Screenshot 2026-04-07 at 18.26.11 1.png,override|answer_key_change|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0624,q0614,76.48,auto-match ok,manual review,downgrade,image-sign-symbol-mismatch-risk|trust-band-caution,routed,auto-match ok,warn,image-sign-symbol-mismatch-risk|trust-band-caution,warning-only,true,true,true,true,false
adv-074,74,batch-007,batch-007:screenshots/Screenshot 2026-04-07 at 18.04.07.png,screenshots/Screenshot 2026-04-07 at 18.04.07.png,delete|structural_risk|ambiguous_near_match,delete-question,,,0,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-075,75,batch-002,batch-002:screenshots/Screenshot 2026-04-07 at 17.50.06.png,screenshots/Screenshot 2026-04-07 at 17.50.06.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0975,q0274,36.738,likely unresolved,likely create-new-question,reroute,likely-create-new-question,routed,likely create-new-question,reroute,likely-create-new-question,routed,true,true,true,true,false
adv-076,76,batch-007,batch-007:screenshots/Screenshot 2026-04-07 at 18.03.36.png,screenshots/Screenshot 2026-04-07 at 18.03.36.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0976,,0,likely unresolved,likely create-new-question,reroute,likely-create-new-question,routed,likely create-new-question,reroute,likely-create-new-question,routed,true,true,true,true,false
adv-077,77,batch-012,batch-012:screenshots/Screenshot 2026-04-07 at 18.19.16.png,screenshots/Screenshot 2026-04-07 at 18.19.16.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0978,,0,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-078,78,batch-015,batch-015:screenshots/Screenshot 2026-04-07 at 18.24.21.png,screenshots/Screenshot 2026-04-07 at 18.24.21.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0980,,0,manual review,manual review,warn,topic-subtopic-drift-risk,routed,manual review,warn,topic-subtopic-drift-risk,routed,true,true,true,true,false
adv-079,79,batch-016,batch-016:screenshots/Screenshot 2026-04-07 at 18.25.27.png,screenshots/Screenshot 2026-04-07 at 18.25.27.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0981,,0,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-080,80,batch-018,batch-018:screenshots/Screenshot 2026-04-07 at 18.26.57.png,screenshots/Screenshot 2026-04-07 at 18.26.57.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0983,,0,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-081,81,batch-020,batch-020:screenshots/Screenshot 2026-04-07 at 18.28.40.png,screenshots/Screenshot 2026-04-07 at 18.28.40.png,create_new|structural_risk|ambiguous_near_match,create-new-question,q0985,,0,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-082,82,batch-011,screenshots/Screenshot 2026-04-07 at 18.18.34 1.png,screenshots/Screenshot 2026-04-07 at 18.18.34 1.png,override|answer_key_change|topic_drift|ambiguous_near_match,approve-existing-qid,q0453,q0974,84.928,auto-match ok,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,true,true,true,true,false
adv-083,83,batch-016,screenshots/Screenshot 2026-04-07 at 18.25.22 1.png,screenshots/Screenshot 2026-04-07 at 18.25.22 1.png,override|answer_key_change|topic_drift|ambiguous_near_match,approve-existing-qid,q0497,q0974,78.892,auto-match ok,manual review,downgrade,image-sign-symbol-mismatch-risk|trust-band-caution,routed,auto-match ok,warn,image-sign-symbol-mismatch-risk|trust-band-caution,warning-only,true,true,true,true,false
adv-084,84,batch-020,batch-020:screenshots/Screenshot 2026-04-07 at 18.28.38 1.png,screenshots/Screenshot 2026-04-07 at 18.28.38 1.png,override|create_new|ambiguous_near_match,create-new-question,q0984,q0565,71.602,manual review,manual review,pass,,routed,manual review,pass,,routed,true,true,true,true,false
adv-085,85,batch-014,screenshots/Screenshot 2026-04-07 at 18.22.47.png,screenshots/Screenshot 2026-04-07 at 18.22.47.png,override|answer_key_change|topic_drift|image_heavy,approve-existing-qid,q0692,q0899,82.189,auto-match ok,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,true,true,true,true,false
adv-086,86,batch-001,screenshots/1.png,screenshots/1.png,override|answer_key_change|topic_drift|image_heavy,approve-existing-qid,q0688,q0761,81.628,auto-match ok,manual review,downgrade,topic-subtopic-drift-risk,routed,auto-match ok,warn,topic-subtopic-drift-risk,warning-only,true,true,true,true,false
adv-087,87,batch-001,screenshots/Screenshot 2026-04-07 at 17.49.39.png,screenshots/Screenshot 2026-04-07 at 17.49.39.png,override|answer_key_change|topic_drift|image_heavy,approve-existing-qid,q0764,q0820,68.027,auto-match ok,manual review,downgrade,trust-band-caution,routed,auto-match ok,warn,trust-band-caution,warning-only,true,true,true,true,false
adv-088,88,batch-011,screenshots/Screenshot 2026-04-07 at 18.18.47.png,screenshots/Screenshot 2026-04-07 at 18.18.47.png,override|answer_key_change|structural_risk,approve-existing-qid,q0505,q0480,73.132,auto-match ok,manual review,downgrade,trust-band-caution,routed,auto-match ok,warn,trust-band-caution,warning-only,true,true,true,true,false
adv-089,89,batch-014,screenshots/Screenshot 2026-04-07 at 18.22.56 1.png,screenshots/Screenshot 2026-04-07 at 18.22.56 1.png,override|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0563,q0525,84.252,auto-match ok,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,auto-match ok,warn,image-sign-symbol-mismatch-risk,warning-only,true,true,true,true,false
adv-090,90,batch-005,screenshots/Screenshot 2026-04-07 at 18.01.16.png,screenshots/Screenshot 2026-04-07 at 18.01.16.png,override|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0290,q0202,76.254,auto-match ok,manual review,downgrade,image-sign-symbol-mismatch-risk|trust-band-caution,routed,auto-match ok,warn,image-sign-symbol-mismatch-risk|trust-band-caution,warning-only,true,true,true,true,false
adv-091,91,batch-006,screenshots/Screenshot 2026-04-07 at 18.01.26 1.png,screenshots/Screenshot 2026-04-07 at 18.01.26 1.png,override|topic_drift|image_heavy|ambiguous_near_match,approve-existing-qid,q0553,q0529,67.781,auto-match ok,manual review,downgrade,image-sign-symbol-mismatch-risk|trust-band-caution,routed,auto-match ok,warn,image-sign-symbol-mismatch-risk|trust-band-caution,warning-only,true,true,true,true,false
adv-092,92,batch-008,screenshots/Screenshot 2026-04-07 at 18.04.32.png,screenshots/Screenshot 2026-04-07 at 18.04.32.png,override|topic_drift|ambiguous_near_match,approve-existing-qid,q0923,q0448,75.807,auto-match ok,auto-match ok,pass,,silent-pass,auto-match ok,pass,,silent-pass,true,true,false,false,true
